sample	core	flowcell	depth_in_core_cm	log_total_reads	total_reads	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	detected_taxa	shannon_raw	age_kyr	mis	sst
LV3003061515	ST13		164.8	6.23360826256073	1712411	490.61	7.99446936227009	7.83020944812158	71.1	73.4	984	5.68112348535857	71.0012	4.219988	9.97144024824405
LV3003061516	ST13		121	5.65203542967092	448781	61.03	7.73440060710596	7.42902518905518	75.6	76.7	464	4.95092403884079	48.537	4.45537	8.80675928823849
LV3003061517	ST13		81	6.01277355162342	1029848	343.69	8.22228086343806	7.89926703157413	74.7	86	862	5.42351690508695	30.678	4.62	8.34038156140496
LV3003061518	ST13		35	6.12170885089362	1323453	303.98	8.05896712792754	7.89745537909105	68.5	69.5	878	5.7125683571885	9.804	3.49256	6.47040385254158
LV3003061527	ST13		239.8	4.16577833129364	14647	28.59	6.42703356445769	5.96033518799448	57.9	60.4	49	3.11848903246255	133.7754	4.634866	11.4223768846317
LV3003061528	ST13		199.8	6.00765476588312	1017781	368.13	7.91732445977001	7.68825868487917	65	67.2	825	5.526465262771	95.118	3.76764	6.56201237466214
LV3003061529	ST13		156	6.00953970036519	1022208	177.08	7.96359665794011	7.63311715109313	75.1	98.8	869	5.59464357617135	66.015	4.56805	8.02667098129265
LV3003061530	ST13		116	5.79855466197296	628860	117.63	7.96462210299415	7.65168379277124	82.1	91.8	417	3.61461902467479	47.046	4.38322	8.66837868071839
LV3003061531	ST13		76	5.99261757485742	983144	99.27	7.96551924097558	7.55234125301261	61.2	62.1	924	5.46514438496183	28.445	4.7411	7.98634449117112
LV3003061533	ST13		30	5.85935509007479	723360	290.8	8.01356145799077	7.80211896562223	59.1	59.5	576	4.96619196862672	7.912	3.4156	6.23449698261132
LV3003061539	ST13		234.8	5.44925000669768	281351	45.25	7.89767130461597	7.05509973540713	72.6	80.9	374	4.98019913701503	130.0556	3.677784	12.6881606418456
