sample	module	module_abundance	n_taxa_in_module_sample	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003046953	blue	0.00227539609251732	22	20	19	10	0.909090909090909	0.863636363636364	0.454545454545455	0.936888356301178	0.91571799480727	0.395646095466347	ko	5	IG-C	ST8	1.5215
LV3003046953	brown	5.13520588085595e-05	1	1	1	1	1	1	1	1	1	1	ko	5	IG-C	ST8	1.5215
LV3003046965	grey	0.2215519533301	565	505	483	446	0.893805309734513	0.854867256637168	0.789380530973451	0.930599850752367	0.88673308974858	0.815014655945497	ko	3	IG-A	ST8	21.8323333333333
LV3003046965	green	0.00615963400491513	29	29	29	21	1	1	0.724137931034483	1	1	0.778697400990099	ko	3	IG-A	ST8	21.8323333333333
LV3003046965	turquoise	0.639078703999283	231	230	220	185	0.995670995670996	0.952380952380952	0.800865800865801	0.999434137395019	0.960940569515737	0.783718962361563	ko	3	IG-A	ST8	21.8323333333333
LV3003046965	yellow	0.0932635673466976	76	74	70	55	0.973684210526316	0.921052631578947	0.723684210526316	0.986426148438777	0.952473639038745	0.745075200261566	ko	3	IG-A	ST8	21.8323333333333
LV3003046965	blue	0.0243288390747971	135	112	101	87	0.82962962962963	0.748148148148148	0.644444444444445	0.855979005914379	0.789804551329756	0.617327954251694	ko	3	IG-A	ST8	21.8323333333333
LV3003046965	brown	0.015617302244207	46	43	27	37	0.934782608695652	0.586956521739131	0.804347826086957	0.93925803892855	0.452041003111843	0.894380377082189	ko	3	IG-A	ST8	21.8323333333333
LV3003046966	grey	0.308766514849249	412	385	370	337	0.934466019417476	0.898058252427185	0.817961165048544	0.962566540696493	0.946714616603682	0.889776098175464	ko	3	IG-A	ST8	17.373
LV3003046966	turquoise	0.569730618185468	226	225	216	179	0.995575221238938	0.955752212389381	0.792035398230089	0.999204987656387	0.95206802310601	0.818662309147487	ko	3	IG-A	ST8	17.373
LV3003046966	yellow	0.0980238641924192	74	72	68	53	0.972972972972973	0.918918918918919	0.716216216216216	0.97027878043161	0.941991142513376	0.786908327573407	ko	3	IG-A	ST8	17.373
LV3003046966	blue	0.00982421801483043	37	35	34	29	0.945945945945946	0.918918918918919	0.783783783783784	0.957854406130268	0.939846743295019	0.822733077905492	ko	3	IG-A	ST8	17.373
LV3003046966	brown	0.0112784030313296	27	26	14	23	0.962962962962963	0.518518518518519	0.851851851851852	0.987762821225943	0.507286683724552	0.930248080987874	ko	3	IG-A	ST8	17.373
LV3003046966	green	0.00237638172670355	11	11	11	8	1	1	0.727272727272727	1	1	0.786166842661035	ko	3	IG-A	ST8	17.373
LV3003046978	grey	0.239493854641152	478	448	424	391	0.937238493723849	0.887029288702929	0.817991631799163	0.963057190423711	0.915008675874036	0.844021853823247	ko	3	IG-A	ST8	21.296
LV3003046978	green	0.00421811197897472	21	21	21	16	1	1	0.761904761904762	1	1	0.784489931769013	ko	3	IG-A	ST8	21.296
LV3003046978	turquoise	0.649486055802063	231	230	222	186	0.995670995670996	0.961038961038961	0.805194805194805	0.99962171936116	0.971958596643678	0.833569488532152	ko	3	IG-A	ST8	21.296
LV3003046978	yellow	0.0727980563973294	75	73	69	54	0.973333333333333	0.92	0.72	0.986943860528803	0.95242319634351	0.752039419127148	ko	3	IG-A	ST8	21.296
LV3003046978	blue	0.0166049989786399	106	92	85	70	0.867924528301887	0.80188679245283	0.660377358490566	0.869245402663285	0.81572606214331	0.618431621221729	ko	3	IG-A	ST8	21.296
LV3003046978	brown	0.0173989222018418	41	38	24	35	0.926829268292683	0.585365853658537	0.853658536585366	0.975550714112806	0.572298878399096	0.944968934075688	ko	3	IG-A	ST8	21.296
LV3003046979	grey	0.284580822468627	325	293	282	255	0.901538461538462	0.867692307692308	0.784615384615385	0.940473336949803	0.920282084600149	0.864388711569758	ko	3	IG-A	ST8	16.461
