sample	MEbrown	MEgrey60	MEpurple	MEsalmon	MEmidnightblue	MEyellow	MElightyellow	MEred	MEmagenta	MElightcyan	MEgreenyellow	MEtan	MEblack	MEgreen	MEturquoise	MEpink	MEblue	MEcyan	MElightgreen	MEgrey
LV3003061569	-0.0720464581555457	-0.0956808698797284	-0.0595694704635603	-0.077048230894759	0.0139101149133419	-0.0180617218861756	-0.0210147421562172	-0.0513408986200812	0.12735992625346	0.053604894697426	-0.0472350789916126	-0.0176327935087489	0.0431503276609145	0.047554019068293	0.0447440442787094	0.0349626129865551	-0.0913863232492256	-0.0797627184042133	-0.113939633737078	-0.0790756232714059
LV3003061556	-0.0350303681627037	-0.0234958462407918	-0.0383986309792274	-0.0333917054074333	0.0149048693051497	-0.00354516069468751	-0.0327740872212658	-0.00701714687771079	0.100441762460271	0.0331657776005275	-0.0272944203942694	-0.0349241765618882	-0.0500403387801558	0.024588281745997	0.0500506851104642	-0.0422726776169626	-0.0451646518793322	-0.0616327388303417	-0.0510103799511583	-0.0238635718462272
LV3003061541	-0.0495563196614688	-0.0272062873608405	-0.00755523766506318	-0.0452282679879807	0.0366506041334571	-0.00210982154262226	-0.0141064634251477	0.000996678191880864	0.0379795915836868	-0.0171287407298352	-0.0351643805174659	-0.0482961626681317	0.00261955296206687	0.0402124293534746	0.0510044844344193	-0.0550305631287829	-0.0660434007998933	-0.0787471243047228	-0.0166031838543999	-0.0446808734330352
LV3003061528	-0.100424131090908	-0.099843386241229	-0.106370469107702	-0.0972277197102207	-0.0439907125816787	-0.0524927287689188	-0.0348230287188896	-0.0874610401278586	0.125445104794189	0.131249190611951	-0.0548825771733886	0.0993288422554123	0.0207197941022581	0.0466938279420848	0.0395727866461536	0.12118065286726	-0.0818466880630328	-0.107247047246492	-0.139372191394084	-0.0483901268942456
LV3003061514	-0.121958875512409	-0.104598262551199	-0.17283573807996	-0.115700094492678	-0.0464531451638732	-0.0715308852484681	-0.0861717128968886	-0.109233461476862	0.135585615030387	0.219009093285076	0.0261255232500871	0.148956925145465	0.012521453310435	0.0291934434292329	0.0315739592031199	0.144990654098928	-0.0343414861097363	-0.130777344227534	-0.141656946655445	-0.0203646295660205
LV3003061501	-0.0438385923393701	-0.0182099383281105	-0.0261319669133009	-0.0246637321692972	0.0162991110181469	0.0198024756933047	0.00102195577178648	0.0180370685647108	0.0991120419524198	0.0138742700260131	-0.0360680846882972	0.0507353285509129	-0.080140326124076	0.00447567431760379	0.0438086536819778	-0.00982590006522009	-0.0503782507756394	-0.0665618472101698	-0.0679716692043045	-0.00840036982846782
LV3003061489	0.010613239234317	-0.0216997741974932	0.0613300679083241	0.0232064428721971	0.0527190224553964	0.0401166186016933	0.0308512515198279	0.0579794180572148	0.0711460873272364	0.00824443073506102	0.0887019206160132	0.0860587640660313	-0.0974503681884537	-0.112362451232414	-0.0285926522716558	-0.00076596685746734	0.0256536758501031	-0.00263400316761155	-0.0138940731127489	0.063189548099647
LV3003061473	0.0379819176544686	-0.0262255785562896	0.0756729680334391	0.0376035503182226	0.0635203119907978	0.0552186340326904	0.0645508807551524	0.076210168276977	-0.00913155424824424	0.0362184774225738	0.0457617634102133	0.0389931765102814	-0.0691168272222419	-0.102613486253506	-0.0870742015018368	-0.0121609784367083	0.0637862251661615	0.0286151116744723	0.00558545608251257	0.0728505455631618
LV3003061568	0.0573887941141936	-0.00968121090914856	0.102520393639765	0.05953449243446	0.0863455844094502	0.0774466830679102	0.0921844623048223	0.104012826163084	-0.0135397034233785	0.0591571007236088	0.0669796933687229	0.0556101300758163	-0.0591013467365178	-0.122559318290526	-0.187304874254168	-0.00248233796649987	0.0957907288407059	0.0542392797421304	0.0074946874876519	0.105103617474358
LV3003061555	0.0489463690943319	-0.0162206394301967	0.0902026700383325	0.0508659333557961	0.0763038832518354	0.0676290243444939	0.0812618428866151	0.0870760504236772	-0.0195206180394896	0.0500902393815684	0.0585929638612789	0.0507704728923552	-0.0641258915649915	-0.112279066375639	-0.136276776619904	-0.0110025018666206	0.0819348153235211	0.0441109134567783	-0.000212440925483471	0.0815990797116045
