sample	core	age_kyr	d18O	sst	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	harmonization_mode
LV7008867169	GeoB25202_R1	344.618	4.77854	9.39378769826667	-31.4964018176136	-40.18077799745	-84.6187212735945	-100.625373474146	-44.2459440597909	-34.3640200433888	corewise_z
LV7008867170	GeoB25202_R2	366.9825	4.369125	6.4360447675	-0.465364486268186	-0.0514547224193064	-0.504373500848674	-0.41855689844337	-0.840704272530247	-0.152561996320748	corewise_z
LV7008867171	GeoB25202_R2	374.2225	4.30885	12.282435605	-0.0757025117520078	0.218654636449325	-0.149637685877805	-0.411215618754265	-1.00733060987184	-0.515942039899372	corewise_z
LV7008867172	GeoB25202_R1	381.109	4.1391	9.88112058363636	-45.0290392169498	-44.0550526390711	-108.924246087173	-134.81372410916	-206.550018020941	-281.579584400766	corewise_z
LV7008867173	GeoB25202_R2	399.7565	3.35896	8.11914319196429	-0.465364486268186	0.293016880552594	-0.930801267241115	-0.511463638493457	-1.78565794040482	-2.97933393505765	corewise_z
LV7008867174	GeoB25202_R2	455.64	4.5444	6.97973708338889	-0.228663234686467	0.595144291299075	0.896506334302478	1.63633677836845	1.50999476333849	0.798943628449062	corewise_z
LV7008867175	GeoB25202_R2	464.8665	4.552645	8.2353425199	-0.0098927438809089	1.01279924056929	2.67216939433964	1.88036670829581	1.20770206960612	0.947075664675764	corewise_z
LV7008867179	GeoB25202_R2	292.808	4.2296	5.4518017491	-0.301169148737425	-0.123872223360286	0.0378144927268805	0.099534797008378	0.923339965733884	0.558366149184161	corewise_z
LV7008867180	GeoB25202_R1	329.227	3.21497	8.38480617292857	-9.3084095773354	-16.6130415371623	-15.1591496694643	-110.061585074077	-130.50973147901	-4.07504220488979	corewise_z
LV7008867181	GeoB25202_R2	344.618	4.77854	9.39378769826667	-0.328555646231655	-0.438734297984562	-0.833520832409955	-0.41146641429064	-0.681027210381253	-0.877666601835096	corewise_z
LV7008867186	GeoB25202_R1	441.7255	4.957255	5.69519935053571	-41.4196970635762	16.5350761780165	121.344364399176	144.787969493219	142.555804823915	124.648729852308	corewise_z
LV7008867187	GeoB25202_R1	463.1375	4.586625	7.92485320116667	-40.8967081469348	89.3033601602504	273.355682880727	69.3349693896739	46.4501599888348	109.601793890808	corewise_z
LV7008867188	GeoB25202_R1	472.9155	4.35662	9.8976235145	-37.9826935373093	158.807480573039	363.842733871236	274.34265666404	131.617934162723	200.342283503479	corewise_z
LV7008867191	GeoB25202_R1	279.495	4.18545	5.32153397325	15.5130579268459	-2.15971560788295	53.9402246014826	-70.3624984099622	43.8893982417144	136.95476714788	corewise_z
LV7008867194	GeoB25202_R1	362.3745	4.511235	5.7208165615	-41.0205251359215	2.69485970181674	2.831844772184	-90.4492805767381	27.6322111673296	93.4474447172134	corewise_z
LV7008867196	GeoB25202_R1	378.5135	4.17973	8.14138121628571	-45.0290392169498	-2.17287037774065	-65.9576919957395	-125.317753274783	-219.821253433353	-210.351333937155	corewise_z
LV7008867197	GeoB25202_R1	395.9295	3.72282	6.60705249941667	-43.5684665633772	-50.4637354251947	-105.157669575892	-127.761327982361	-118.536409134287	-105.750374837748	corewise_z
LV7008867198	GeoB25202_R2	441.7255	4.957255	5.69519935053571	-0.445006394685506	-0.433839452277498	-0.85771270436628	-0.496284970918192	-1.07486831563758	-1.17189944738808	corewise_z
LV7008867199	GeoB25202_R2	463.1375	4.586625	7.92485320116667	-0.204957438517514	0.749481322279656	2.12735193882185	1.48159384330888	1.14866228568063	0.933420760129455	corewise_z
LV7008867310	GeoB25202_R1	543.5	4.455	3.41302116925	-36.8505131818472	25.6729052645513	45.529624300716	-49.0693490063286	75.7794095996376	55.1754712835888	corewise_z
LV7008867311	GeoB25202_R2	569.693	3.92842	7.9185302282	-0.444717520103668	0.00798573542209316	0.274669575864416	-0.289220763285062	-0.508238359545603	-0.494033854435863	corewise_z
LV7008867312	GeoB25202_R1	583.6005	4.30201	8.9859429084	-27.220167109693	49.6553448601103	-18.7171845375702	-117.169686693531	-154.805186084962	-38.7506864674281	corewise_z
LV7008867313	GeoB25202_R2	594.5505	3.88899	9.786472645875	-0.465364486268186	0.0659222742013807	-0.853707544538437	-0.501804022579181	-1.56020864722975	-1.89889495087042	corewise_z
LV7008867321	GeoB25202_R1	517.8405	4.052455	6.2340121882	-45.0290392169498	-39.6783735259172	-113.73746993303	-133.918184114742	-236.135247046763	-401.940556267503	corewise_z
LV7008867322	GeoB25202_R2	543.5	4.455	3.41302116925	-0.188966666681027	0.418461966015548	-0.437230736851201	-0.40585208839135	-0.160044106954597	-0.36420381533737	corewise_z
LV7008867323	GeoB25202_R1	565.2705	3.93295	6.5041501832	-35.4920649966206	33.880473783791	34.9030954263768	-93.8610626377912	-97.4719772941878	7.76903870928927	corewise_z
LV7008867324	GeoB25202_R2	583.6005	4.30201	8.9859429084	-0.424458753220344	0.198556590025921	-0.916620333426477	-0.494114804461722	-1.26251424125329	-1.82827211613516	corewise_z
LV7008867325	GeoB25202_R1	592.112	4.01664	6.980962389	-45.0290392169498	25.5434653603694	-82.0505433054832	-127.904644465113	-202.9985351984	-182.871497191148	corewise_z
LV7008867326	GeoB25202_R1	599.5185	4.045925		-45.0290392169498	-28.5582342822542	-76.0783843144528	-123.100159274144	-222.944758206597	-240.626158506988	corewise_z
LV7008867333	GeoB25202_R2	517.8405	4.052455	6.2340121882	-0.465364486268186	-0.345629323785353	-0.952781343203489	-0.505946931322573	-1.52826604448936	-2.50717178347769	corewise_z
LV7008867334	GeoB25202_R1	538.544	4.50736	3.14687621355	-39.735422782845	202.952083816843	-97.9251867555945	-108.736262115597	-141.399032673089	-200.542135035147	corewise_z
LV7008867335	GeoB25202_R2	565.2705	3.93295	6.5041501832	-0.324348539957152	0.639285089205855	0.282813575407566	-0.397280635183979	-0.237745779812261	-0.0182064632615901	corewise_z
LV7008867336	GeoB25202_R1	579.598	3.64176	5.9227238689	-23.534445458394	152.970106511554	146.700496531054	-62.6558511216072	-55.7727968513837	69.0335215157125	corewise_z
LV7008867337	GeoB25202_R2	592.112	4.01664	6.980962389	-0.465364486268186	0.229072054744562	-0.798020334773727	-0.507680751422833	-1.47290702698657	-1.75758432681755	corewise_z
