sample	MEblue	MEbrown	MEgreen	MEgrey	MEturquoise	MEyellow
LV7001898076	32.8419851978488	24.1954325172055	6.70905797057521	39.2313020991935	15.7925366154334	10.4531447851135
LV7001898064	3.00335338523386	21.3979619033044	-2.2966362302651	5.12543175912424	9.15476064707258	5.77109968763422
LV3003061546	-2.10880086574444	27.5806926116442	-5.4247117102377	-5.84234160202091	-0.922681181564331	-2.36754566208441
LV3003061533	-2.11787273378673	29.3833699595377	-3.97508403725284	-1.06366049813155	4.73310563312609	1.97781646770308
LV3003061518	22.2742840160793	3.71472177997629	3.75284472587641	25.5867370688969	13.3089914836413	8.73547325056781
LV3003061506	-2.99300087953389	13.7797503566725	-4.38262819600406	-5.18075453673045	3.84163977026594	1.82164981833157
LV3003061492	35.563301642746	15.6054344060363	2.98489775427416	40.8607954786071	15.8862661616446	10.7783284886006
LV3003061477	35.8606958410124	3.56635286409538	3.83482565017619	35.4108923158204	15.5830413376394	10.7230388252616
LV3003061572	32.8957420393539	6.45765674813499	1.06692107832098	32.0133470363869	14.7093794653615	10.2910939630798
LV3003061559	1.35320711295692	-0.918355237144178	0.964708735090993	12.7401088911953	8.96578165144058	6.77756575756821
LV3003061545	5.79017325261217	-0.916948970633865	-1.84034849790175	19.7194010535978	9.79943233766511	7.3604721176664
LV3003061531	6.04036837071342	-0.497471490144642	3.34415200062549	26.7611288919238	10.843861718489	7.50157646873289
LV3003061517	7.81448553548597	-1.95547037154209	7.15763430772522	21.7751194216471	11.3647714399215	7.71267785650821
LV3003061505	-2.06692625199941	-2.48136436425279	-3.56709604556841	-0.864702788114587	6.34476570556376	4.93455462024372
LV3003061488	4.76545026694466	-0.973424945203626	1.08833698617692	20.5832485582825	10.4848283408813	7.26563107265386
LV3003061476	-2.71724718928893	-2.51443774730656	3.91492851709942	7.75438990804964	7.02907542719275	5.89278057602183
LV3003061571	-2.85856302457783	-1.05087800005055	-5.11570831839557	2.88995131153175	5.61405036834162	3.74968177522661
LV3003061558	-1.82024791970937	-2.5792756509403	1.1095734051314	6.52887488679827	8.40090816182183	5.81691274061947
LV3003061544	-3.00659056228126	-2.68961792164786	1.12611490031294	0.912882738697943	6.77447153173253	5.21402501757251
LV3003061530	-3.91795759530251	-3.0253069097154	-1.80817335722967	-7.20359787688956	3.13828460089435	1.375622417286
LV3003061516	-3.86594986157084	-3.0253069097154	-2.63850268181195	-4.64615374937844	5.27345373654837	3.06297545542386
LV3003061504	-4.22199483873379	-3.0253069097154	-3.09496823067919	-4.47870072045139	4.33201876102238	3.06207499053956
LV3003061486	-4.22199483873379	-3.0253069097154	-5.23330109372563	-10.55511824804	-1.98374606376985	-4.38513554671295
LV3003061475	-4.01326195030531	-3.0253069097154	-1.80669395084982	-4.65230186857659	4.06082550367079	2.03220438563922
LV3003061570	-3.78694320266125	-3.0253069097154	6.46053191621518	1.9809053489253	7.61815151126845	4.60842683537382
LV3003061557	-3.89276601353445	-3.0253069097154	8.42033773039115	-1.46703018344684	4.53897082973993	3.29795523928818
LV3003061543	3.34563194274221	-2.69320483782098	9.28893869802094	18.0956612699311	10.7293543870846	7.03437624659544
LV3003061529	10.0261086894082	-0.184000148154166	10.0518445175826	20.3687938536268	12.3622670900535	7.84235210143353
LV3003061515	11.2064496784169	-2.54697075106488	16.3006155316449	31.1715169420817	13.6056823070228	7.84536456782993
LV3003061503	-0.192002893334909	-2.65340571873468	10.0474535219681	15.1483262218302	11.9206013499526	5.88585019724574
LV3003061485	8.78374821842465	-2.82327973971574	13.9464104675834	28.0295813914853	13.981196436503	7.48158809358796
LV3003061474	-3.50972237269665	-3.0253069097154	7.25782123464572	5.98617010672271	8.35804684945775	4.18115277622229
LV3003061569	-3.00385605677227	-2.87341650683847	11.7625499299177	7.81980668566956	9.24635749783608	4.87156733343498
LV3003061556	-3.87824247949554	-3.0253069097154	7.68068627458431	-2.50857218854199	5.2704380249067	1.28440105367662
LV3003061541	-3.71723021678194	-3.0253069097154	3.78674136709165	0.858797777329625	7.52214618729561	3.48032381326313
LV3003061528	2.49315358604921	-3.0253069097154	12.796156913532	16.9460918221836	11.4101450417576	6.21406820649109
LV3003061514	9.87244722689935	-2.62190280023424	14.7923201991279	25.3668740035004	13.4438206450175	6.6989658185146
LV3003061501	-3.35760027709214	-3.0253069097154	7.67802317120024	-2.10731879416672	5.68567813358876	-0.962676869747582
LV3003061489	-4.03573365816773	-3.0253069097154	3.11271168088746	-10.6701072298756	-8.73464709656585	-8.9116911331626
LV3003061473	-4.22199483873379	-3.0253069097154	-4.01370205826205	-13.4752271291417	-15.7116616707325	-9.19111791906469
LV3003061568	-4.03832790668903	-3.0253069097154	-5.63292458983592	-14.9651587522371	-26.4747552046318	-11.9195912119117
LV3003061555	-4.22199483873379	-3.0253069097154	-5.63292458983592	-14.1781126710512	-21.5099945933612	-10.4419414041328
LV3003061539	-3.802993682828	-2.86513552182872	-3.67272214280667	-8.26715215387598	-0.342118587340635	2.20381540904825
LV3003061527	-4.22199483873379	-3.0253069097154	-5.63292458983592	-14.9659973459256	-27.151091517875	-11.9132881820129
LV3003061513	-3.585020610569	-2.54670602476937	-2.98762047827386	-9.53953969590095	-1.18761179375693	0.941621339956111
LV3003061500	-3.89701373442644	6.20583646329204	-4.06980390410289	-4.4273513531053	4.37971941738696	2.25934374972241
LV3003061487	12.8637756430314	-0.566196189036336	4.15924762709536	20.8143137834526	11.6331624260868	8.23489640924191
LV3003061472	0.491823485568166	-2.39762485543882	0.886807986655332	7.56348547487405	6.66535998839704	5.07286546428661
LV3003047025	-4.22199483873379	-3.0253069097154	-5.63292458983592	-13.2396122155242	-17.8869223981338	-9.16352510057323
LV3003046992	-4.22199483873379	-2.78270012487183	-5.63292458983592	-14.8153833210288	-26.8911486488099	-12.0654794332091
LV3003046977	-4.22199483873379	-3.0253069097154	-5.63292458983592	-11.4179801447805	-10.3308178530556	-6.01432719557008
LV3003046964	-3.76644571696356	-3.0253069097154	-4.99831307226475	-8.84604515556063	-2.60940310935803	-0.982773151885685
LV3003046947	-4.22199483873379	-3.0253069097154	-4.4427980506342	-10.3270005113385	-4.96555948633182	-4.62435655521456
LV3003047056	-4.22199483873379	-3.0253069097154	-5.06050407880576	-9.05946625827716	-2.4096021551343	-2.48348132065213
LV3003047039	-3.39521842961181	-2.12004114736476	-2.45428165565754	0.725938880351575	4.80613550309501	4.47502228347597
LV3003047024	-4.22199483873379	-3.0253069097154	-5.63292458983592	-15.3816250244811	-25.2699862988482	-12.6459374413077
LV3003047005	-4.22199483873379	-3.0253069097154	-3.40889372769319	-10.1121198592677	1.10070020048774	-0.955252601624007
LV3003046991	-4.22199483873379	-3.0253069097154	-5.0653200060928	-11.7060015990493	-3.46044674106073	-4.74656170085419
LV3003046976	-4.22199483873379	-3.0253069097154	-4.46368532179726	-10.6240510724169	-3.48759475373304	-2.44472096202544
LV3003046963	-4.06868921372882	-2.82039548463394	-4.24434877852529	-9.85398440102309	-1.9090581265681	-1.49770600896818
LV3003046946	-4.1010249702203	-2.53650288661634	-5.40649730292774	-11.8833189441107	-6.04940744385267	-5.05273880598114
LV3003047055	-3.64493671442053	-2.78660530177911	-4.24797760654131	-8.97315777823296	-1.7442851691197	-1.6520186542641
LV3003047037	-4.03622468369822	-2.65474868946751	-3.19545721046541	-6.01969179820376	1.15660221999693	0.604344752899402
LV3003047023	-4.22199483873379	-2.84564356916603	-5.41297536035851	-11.8430058821102	-4.76456278811406	-4.52817042993648
LV3003047003	-4.03935630976568	-2.46948297363456	-5.03386761242322	-8.92189302538375	0.725691258559812	0.890284482951715
LV3003046990	-4.22199483873379	-2.58915466489111	-5.30824781773201	-10.9210712304138	-1.92675664271719	-1.28310928505095
LV3003046975	-2.4623428935607	-2.3348142324632	-2.04850131537961	0.997443377578284	5.86145958462863	4.16755607979414
