sample	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	nondmg_total_reads	nondmg_n_taxa	core	age_kyr	state	state_label
LV3003047010	-90.3091582257458	-1.93827328871552	-2.80856578170152	-1.4285177105123	-1.57664086379425	-0.539198253556978	ko	609	355	273	301	0.91664766851997	0.683843188656266	0.881507048358203	5461059	609	ST8	13.676	1	IG-D
LV3003047013	-20.4196571503774	-13.8155105579643	6.80738033724206	-2.25083226753695	-0.921120431108132	-0.336299427163766	ko	566	406	310	326	0.961096463698203	0.645124742594239	0.818358519989291	2917087	566	ST8	5.885	1	IG-D
LV3003047026	-77.242022740679	-13.8155105579643	7.42263134825954	-3.25625803198516	-1.51204022132619	-0.608098217141984	ko	416	191	116	140	0.852908548954538	0.514502283879909	0.77202997405789	1272834	416	ST8	19.565	3	IG-A
LV3003047027	-105.132095821375	-2.35355807303283	-3.35528190781626	-2.80681090182497	-1.51982358877274	-0.51512486438919	ko	503	340	245	284	0.913155659399419	0.642952654258104	0.859386629298786	5363608	503	ST8	12.877	1	IG-D
LV3003047028	-35.1592424994729	-13.8155105579643	9.05684648640096	-1.11337951595032	-0.184738114709163	-0.0896942777488926	ko	76	75	53	67	0.998850232519941	0.701963843919065	0.86542587592777	97411	76	ST8	4.753	2	IG-E
LV3003047041	30.5650456327139	-13.8155105579643	7.6234473410353	-2.47406395082428	-1.3700105099825	-0.365109178711806	ko	247	205	139	163	0.980024169474434	0.661180782866884	0.89158149994798	624755	247	ST8	19.097	3	IG-A
LV3003047044	-84.0925362062877	-5.81484293095999	0.824945653627407	-2.30936601691354	-1.49198568908122	-0.667106120362425	ko	239	194	125	156	0.941280249385271	0.552549615038362	0.881254450908993	744230	239	ST8	12.078	5	G-A
LV3003047045	-41.8014051064418	-13.8155105579643	8.523976930311	-1.02920352239654	0.0799375334089634	-0.347108342412058	ko	820	539	455	450	0.949138506190243	0.700002985438847	0.846248168714505	4622436	820	ST8	3.5865	1	IG-D
LV3003047059	-31.0593601759787	-13.8155105579643	0	-2.23449142127994	-1.74032529390092	-0.690777006659039	ko	71	63	38	52	0.964756047560476	0.672439524395244	0.872488724887249	60975	71	ST8	107.683	2	IG-E
LV3003047060	-72.3194114054444	-13.8155105579643	0	-11.0855274113061	-1.58428452675242	-0.653491797967627	ko	68	66	40	57	0.966386297130425	0.603667785080664	0.905379111703513	65271	68	ST8	106.686	2	IG-E
