state	sample	core	age_kyr	state_label	index	value	state_label_source
1	LV7008886754	GeoB25202_R1	71.8895	state_03	MII	-2.59897426208722	IG-D
1	LV7008886755	GeoB25202_R2	81.6705	state_03	MII	-2.50998032767217	IG-D
1	LV7008886756	GeoB25202_R2	105.5785	state_03	MII	-2.04714644743539	IG-D
1	LV7008886766	GeoB25202_R2	71.8895	state_03	MII	-2.57660206166188	IG-D
1	LV7008886768	GeoB25202_R1	102.2955	state_03	MII	-2.39113103374218	IG-D
1	LV7008886778	GeoB25202_R1	68.149	state_03	MII	-2.57674691557445	IG-D
1	LV7008886780	GeoB25202_R2	102.2955	state_03	MII	-2.31766208357202	IG-D
1	LV3003046938	ST8	11.169	state_03	SRPI	-1.23197808902813	IG-D
1	LV3003046939	ST8	2.42	state_03	SRPI	-0.729606102152921	IG-D
1	LV3003046952	ST8	10.26	state_03	SRPI	-1.09782816866365	IG-D
1	LV3003046953	ST8	1.5215	state_03	SRPI	-0.44096878504049	IG-D
1	LV3003046980	ST8	8.056	state_03	SRPI	-0.835380692736113	IG-D
1	LV3003046995	ST8	6.9705	state_03	SRPI	-1.02880791407971	IG-D
1	LV3003047010	ST8	13.676	state_03	SRPI	-1.00223013406697	IG-D
1	LV3003047013	ST8	5.885	state_03	SRPI	-0.794970336795206	IG-D
1	LV3003047027	ST8	12.877	state_03	SRPI	-1.06830882116451	IG-D
1	LV3003047045	ST8	3.5865	state_03	SRPI	-0.834723862103118	IG-D
1	LV3003047079	ST8	97.52	state_03	SRPI	-0.556262821185641	IG-D
1	LV3003047080	ST8	87.9935	state_03	SRPI	-0.637459380824394	IG-D
1	LV3003047091	ST8	89.37525	state_03	SRPI	-0.608923998332864	IG-D
1	LV3003047093	ST8	79.675	state_03	SRPI	-0.62997060117642	IG-D
1	LV3003047100	ST8	86.61175	state_03	SRPI	-0.628505553084165	IG-D
1	LV3003047101	ST8	85.23	state_03	SRPI	-0.59246421777835	IG-D
1	LV3003047107	ST8	71.517	state_03	SRPI	-0.725584727785854	IG-D
1	LV3003047133	ST8	70.162	state_03	SRPI	-0.67304514736088	IG-D
1	LV3003047134	ST8	68.807	state_03	SRPI	-0.827404861677594	IG-D
1	LV3003047136	ST8	67.8766	state_03	SRPI	-0.875009146805461	IG-D
1	LV3003047137	ST8	66.9462	state_03	SRPI	-0.611583757095957	IG-D
1	LV3003047138	ST8	66.0158	state_03	SRPI	-0.628887657405133	IG-D
1	LV3003061474	ST13	77.7798	state_03	SRPI	-0.678493895398262	IG-D
1	LV3003061485	ST13	75.7796	state_03	SRPI	-0.788016788352875	IG-D
1	LV3003061500	ST13	148.086	state_03	SRPI	-0.633930948744671	IG-D
1	LV3003061501	ST13	105.5872	state_03	SRPI	-0.370192271802219	IG-D
1	LV3003061503	ST13	73.1472	state_03	SRPI	-0.705364350878749	IG-D
1	LV3003061514	ST13	100.6726	state_03	SRPI	-0.791995472804124	IG-D
1	LV3003061515	ST13	71.0012	state_03	SRPI	-0.852043862611493	IG-D
1	LV3003061528	ST13	95.118	state_03	SRPI	-0.785715059809556	IG-D
1	LV3003061529	ST13	66.015	state_03	SRPI	-0.83241500374966	IG-D
1	LV3003061541	ST13	91.09	state_03	SRPI	-0.744213450384805	IG-D
1	LV3003061543	ST13	62.293	state_03	SRPI	-0.989512997248127	IG-D
1	LV3003061556	ST13	86.6174	state_03	SRPI	-0.728201653031137	IG-D
1	LV3003061557	ST13	58.082	state_03	SRPI	-0.834998537676803	IG-D
1	LV3003061569	ST13	81.6946	state_03	SRPI	-0.731699425585932	IG-D
1	LV7001898088	ST13	6.031	state_03	SRPI	-0.643194155209997	IG-D
1	LV7001898100	ST13	5.659	state_03	SRPI	-0.381406435198135	IG-D
1	LV7008886229	GeoB25202_R2	68.149	state_03	SRPI	-0.558128442864668	IG-D
1	LV7008886695	GeoB25202_R1	95.3875	state_03	SRPI	-0.443544619936838	IG-D
1	LV7008886706	GeoB25202_R1	79.0255	state_03	SRPI	-0.500844008686709	IG-D
